CNPJ;Ano;Trimestre;ValorDespesas
331651;2024;3T2024;386370607.51
331651;2024;4T2024;505999827.42
331872;2024;2T2024;1580961212.98
331872;2024;3T2024;2406453137.5099998
331872;2024;4T2024;3203429264.93
331988;2024;2T2024;1522717399.58
331988;2024;3T2024;1970448742.0
331988;2024;4T2024;2708430113.75
333051;2024;2T2024;606341329.15
333051;2024;3T2024;945745470.73
333051;2024;4T2024;1273000977.53
333239;2024;2T2024;2976765.63
333239;2024;3T2024;4875579.6899999995
333239;2024;4T2024;34063.33
333620;2024;4T2024;5928904.69
333662;2024;2T2024;552882288.45
333662;2024;3T2024;789851141.34
333662;2024;4T2024;1059685388.62
333689;2024;2T2024;984144216.02
333689;2024;3T2024;1371325581.65
333689;2024;4T2024;1718011839.46
333808;2024;2T2024;128735421.15
333808;2024;3T2024;192020497.13
333808;2024;4T2024;257739098.19
333867;2024;2T2024;40181315.04
333867;2024;3T2024;55715391.96
333867;2024;4T2024;75072214.84
333875;2024;2T2024;150263404.73
333875;2024;3T2024;242358151.3
333875;2024;4T2024;306508177.18
334154;2024;2T2024;232479137.08
334154;2024;3T2024;355770944.05
334154;2024;4T2024;461893666.03000003
334243;2024;2T2024;17895549.25
334243;2024;3T2024;27616985.029999997
334243;2024;4T2024;37671979.73
334511;2024;2T2024;10745457.56
334511;2024;3T2024;16350786.39
334511;2024;4T2024;21415225.34
334561;2024;2T2024;2018063264.27
334561;2024;3T2024;2990193008.84
334561;2024;4T2024;3980077384.08
334847;2024;2T2024;60833286.58
334847;2024;3T2024;82900523.32000001
334847;2024;4T2024;113371357.25
335100;2024;2T2024;3337433069.7400002
335100;2024;3T2024;5057429051.96
335100;2024;4T2024;6587353958.82
335215;2024;2T2024;378634371.43
335215;2024;3T2024;562007083.51
335215;2024;4T2024;720176456.85
335258;2024;2T2024;58670506.620000005
335258;2024;3T2024;89085436.99
335258;2024;4T2024;119770709.17
335479;2024;2T2024;922303125.03
335479;2024;3T2024;1422208193.82
335479;2024;4T2024;1894607012.9
335517;2024;2T2024;218232366.47
335517;2024;3T2024;337620759.63
335517;2024;4T2024;439944700.74
335525;2024;4T2024;18057605.3
335541;2024;2T2024;193996325.04
335541;2024;3T2024;280692748.46
335541;2024;4T2024;359487001.69
335592;2024;2T2024;3265546448.81
335592;2024;3T2024;4908690151.46
335592;2024;4T2024;6408624394.92
335614;2024;2T2024;2643893355.57
335614;2024;3T2024;4196754429.7200003
335614;2024;4T2024;6045649088.98
335657;2024;2T2024;76485303.49
335657;2024;3T2024;109977864.80999999
335657;2024;4T2024;144185193.25
335690;2024;2T2024;8419900910.32
335690;2024;3T2024;12748928286.699999
335690;2024;4T2024;16493359571.119999
